name,category,calories,carbs,protein,fat,sodium,fiber,sugar,tags,description
잡채,반찬,320,45,10,15.0,600,4,8,"[""Korean"", ""noodle"", ""vegetables""]","당면과 여러 가지 채소, 고기를 함께 볶은 한국의 명절 음식"
돈까스,육류,550,40,25,35.0,700,2,3,"[""Japanese"", ""pork"", ""fried""]",돼지고기를 넓게 펴서 빵가루를 묻혀 튀긴 일본식 요리로 한국에서도 인기 있음
제육볶음,육류,450,15,30,28.0,850,2,10,"[""Korean"", ""pork"", ""spicy""]",돼지고기를 매콤한 양념으로 볶은 한국의 대표적인 반찬
미역국,국/찌개,120,8,10,6.0,850,3,1,"[""Korean"", ""seaweed"", ""soup""]",미역과 소고기를 넣고 끓인 한국의 전통 국으로 산모의 산후 음식으로 유명함
순두부찌개,국/찌개,280,12,18,16.0,1100,3,3,"[""Korean"", ""tofu"", ""spicy""]",순두부와 해산물 등을 넣고 매콤하게 끓인 찌개 요리
부대찌개,국/찌개,380,18,25,24.0,1500,2,5,"[""Korean"", ""fusion"", ""sausage""]",햄과 소시지 등 미군 부대에서 나온 재료로 끓이는 한국전쟁 이후 발전한 찌개
육개장,국/찌개,320,12,28,18.0,1200,2,2,"[""Korean"", ""beef"", ""spicy""]",소고기와 채소를 매콤하게 끓인 전통 국물 요리
감자탕,국/찌개,450,15,32,28.0,1100,3,4,"[""Korean"", ""pork"", ""potato""]",돼지 등뼈와 감자를 넣고 푹 끓인 전통 탕 요리
설렁탕,국/찌개,400,5,35,25.0,800,0,1,"[""Korean"", ""beef"", ""milky soup""]",소뼈를 오랫동안 끓여 국물이 하얗게 되는 한국의 전통 탕 요리
김치볶음밥,밥류,500,70,15,20.0,900,3,4,"[""Korean"", ""rice"", ""kimchi""]",김치와 밥을 함께 볶아 만든 한국의 대표적인 가정식
닭갈비,육류,480,20,35,30.0,850,2,8,"[""Korean"", ""chicken"", ""spicy""]",양념한 닭고기를 채소와 함께 철판에 볶아 먹는 강원도 춘천의 향토 음식
짜장면,면류,650,100,20,18.0,1300,4,10,"[""Chinese"", ""noodle"", ""black bean sauce""]",중국에서 유래한 춘장 소스와 면을 볶아 만든 한식화된 중국 요리
짬뽕,면류,550,80,22,15.0,1700,3,5,"[""Chinese"", ""noodle"", ""spicy seafood""]",매운 해물 국물에 면을 넣은 한식화된 중국 요리
군만두,분식,350,40,15,15.0,600,2,2,"[""Korean"", ""dumpling"", ""pan-fried""]",만두소를 넣은 만두피를 철판에 구운 요리
볶음밥,밥류,550,80,15,20.0,900,3,5,"[""Korean"", ""rice"", ""fried""]",밥과 다양한 재료를 함께 볶아 만든 요리
계란찜,반찬,150,3,12,10.0,400,0,2,"[""Korean"", ""egg"", ""steamed""]",계란을 젓고 양념하여 찐 부드러운 찜 요리
파전,전/부침,400,45,12,20.0,650,2,3,"[""Korean"", ""pancake"", ""green onion""]",파를 주 재료로 하여 부침개 반죽을 부쳐 만든 한국의 전통 음식
김치전,전/부침,380,40,10,22.0,700,3,4,"[""Korean"", ""pancake"", ""kimchi""]",김치를 주 재료로 하여 부침개 반죽을 부쳐 만든 전통 음식
해물파전,전/부침,420,45,15,22.0,750,2,3,"[""Korean"", ""pancake"", ""seafood""]",파와 다양한 해산물을 넣어 부친 전통 부침개
보쌈,육류,580,5,40,42.0,750,1,1,"[""Korean"", ""pork"", ""steamed""]",돼지고기를 삶아 김치나 채소에 싸서 먹는 한국 전통 요리
족발,육류,600,5,42,45.0,800,0,2,"[""Korean"", ""pork"", ""feet""]",돼지 족을 양념과 함께 삶아 썰어 먹는 한국 요리
갈비찜,육류,550,25,35,35.0,850,2,12,"[""Korean"", ""beef"", ""braised""]",소갈비를 달콤한 양념으로 조려낸 한국의 대표적인 찜 요리
간장게장,반찬,280,5,30,15.0,1400,0,8,"[""Korean"", ""crab"", ""soy sauce""]",간장 양념에 게를 절여 만든 한국의 전통 반찬
양념게장,반찬,320,15,30,15.0,1200,1,15,"[""Korean"", ""crab"", ""spicy""]",매운 양념에 게를 절여 만든 한국 반찬
닭도리탕,국/찌개,450,20,35,25.0,900,3,7,"[""Korean"", ""chicken"", ""spicy stew""]",닭과 감자 등을 매콤한 양념으로 조려낸 찌개 요리
떡국,국/찌개,380,60,12,10.0,750,1,2,"[""Korean"", ""rice cake"", ""soup""]",설날에 먹는 떡을 넣고 끓인 한국의 명절 음식
만두국,국/찌개,400,50,18,15.0,800,2,2,"[""Korean"", ""dumpling"", ""soup""]",만두를 넣고 끓인 국물 요리
순대,간식,320,40,15,12.0,650,2,1,"[""Korean"", ""blood sausage"", ""street food""]",돼지 창자에 당면과 선지 등을 넣어 만든 한국의 전통 음식
순대국,국/찌개,350,30,20,18.0,800,2,1,"[""Korean"", ""blood sausage"", ""soup""]",순대와 내장을 넣고 끓인 국물 요리
콩나물국,국/찌개,100,8,6,5.0,650,2,1,"[""Korean"", ""bean sprout"", ""soup""]",콩나물을 주 재료로 끓인 시원한 국물 요리
미소된장국,국/찌개,80,6,5,3.0,700,1,1,"[""Japanese"", ""miso"", ""soup""]",일본식 된장을 풀어 끓인 국물 요리
북엇국,국/찌개,150,5,20,7.0,800,0,1,"[""Korean"", ""dried pollack"", ""soup""]",북어를 넣고 끓인 해장국으로 유명한 국물 요리
감자국,국/찌개,120,15,5,5.0,600,2,2,"[""Korean"", ""potato"", ""soup""]",감자를 넣고 끓인 시원한 국물 요리
우거지국,국/찌개,130,8,8,7.0,700,3,1,"[""Korean"", ""dried cabbage"", ""soup""]",우거지(말린 배추)를 넣고 끓인 국물 요리
오이냉국,국/찌개,90,8,3,4.0,500,1,3,"[""Korean"", ""cucumber"", ""cold soup""]",오이를 넣고 시원하게 만든 여름철 냉국
동치미,국/찌개,50,8,1,0.5,450,1,5,"[""Korean"", ""radish"", ""cold soup""]",무를 소금물에 담가 발효시킨 시원한 국물 요리
메밀묵,반찬,180,35,4,1.0,300,3,1,"[""Korean"", ""buckwheat"", ""jelly""]",메밀가루로 만든 묵을 간장 양념과 함께 먹는 반찬
쌈밥,밥류,350,50,15,12.0,500,5,3,"[""Korean"", ""rice"", ""vegetable wrap""]",상추나 깻잎 등의 채소에 밥과 쌈장을 싸서 먹는 건강식
곱창구이,육류,500,5,30,40.0,700,0,2,"[""Korean"", ""beef intestine"", ""grilled""]",소의 곱창을 구워 먹는 요리
곱창전골,국/찌개,450,10,30,35.0,850,1,3,"[""Korean"", ""beef intestine"", ""hot pot""]",곱창과 다양한 채소를 넣고 끓인 전골 요리
쭈꾸미볶음,해산물,350,20,25,15.0,900,2,8,"[""Korean"", ""baby octopus"", ""spicy""]",쭈꾸미를 매콤하게 볶은 해산물 요리
오징어볶음,해산물,320,18,28,12.0,850,1,7,"[""Korean"", ""squid"", ""spicy""]",오징어를 매콤하게 볶은 해산물 요리
낙지볶음,해산물,330,18,26,14.0,880,1,8,"[""Korean"", ""small octopus"", ""spicy""]",낙지를 매콤하게 볶은 해산물 요리
조개탕,국/찌개,200,8,22,8.0,700,0,1,"[""Korean"", ""clam"", ""soup""]",조개를 넣고 끓인 시원한 국물 요리
해물탕,국/찌개,300,15,30,12.0,850,1,3,"[""Korean"", ""seafood"", ""hot pot""]",다양한 해산물을 넣고 매콤하게 끓인 탕 요리
장어구이,해산물,450,5,35,30.0,600,0,8,"[""Korean"", ""eel"", ""grilled""]",장어를 달콤한 양념으로 구운 보양 음식
매운탕,국/찌개,280,10,25,15.0,850,1,3,"[""Korean"", ""fish"", ""spicy soup""]",생선과 채소를 넣고 매콤하게 끓인 탕 요리
추어탕,국/찌개,300,12,25,18.0,900,1,2,"[""Korean"", ""loach"", ""soup""]",미꾸라지를 갈아 넣고 끓인 전통 탕 요리
도토리묵,반찬,120,25,2,0.5,350,4,1,"[""Korean"", ""acorn"", ""jelly""]",도토리 가루로 만든 묵을 양념장에 무쳐 먹는 전통 반찬
오이무침,반찬,70,5,1,4.0,400,1,3,"[""Korean"", ""cucumber"", ""seasoned""]",오이를 고추장이나 양념으로 무친 반찬
시금치나물,반찬,60,5,3,3.0,350,2,1,"[""Korean"", ""spinach"", ""seasoned""]",시금치를 데쳐 양념으로 무친 나물 반찬
도라지나물,반찬,70,8,2,3.0,300,3,2,"[""Korean"", ""bellflower root"", ""seasoned""]",도라지를 데쳐 양념으로 무친 나물 반찬
무나물,반찬,60,6,1,3.0,350,2,3,"[""Korean"", ""radish"", ""seasoned""]",무를 데쳐 양념으로 무친 나물 반찬
고사리나물,반찬,80,5,2,5.0,350,3,1,"[""Korean"", ""bracken"", ""seasoned""]",고사리를 데쳐 양념으로 무친 나물 반찬
콩나물무침,반찬,70,5,3,4.0,400,2,1,"[""Korean"", ""bean sprout"", ""seasoned""]",콩나물을 데쳐 양념으로 무친 나물 반찬
깻잎장아찌,반찬,50,5,1,3.0,450,1,3,"[""Korean"", ""perilla leaf"", ""pickled""]",깻잎을 간장에 절인 장아찌 반찬
무장아찌,반찬,40,6,1,1.0,500,2,4,"[""Korean"", ""radish"", ""pickled""]",무를 양념에 절인 장아찌 반찬
마늘장아찌,반찬,60,8,1,2.0,450,1,5,"[""Korean"", ""garlic"", ""pickled""]",마늘을 양념에 절인 장아찌 반찬
오이장아찌,반찬,45,5,1,2.0,480,1,4,"[""Korean"", ""cucumber"", ""pickled""]",오이를 양념에 절인 장아찌 반찬
간장계란장,반찬,120,2,8,8.0,500,0,3,"[""Korean"", ""egg"", ""soy sauce""]",삶은 계란을 간장 양념에 조린 반찬
멸치볶음,반찬,150,5,20,7.0,650,1,3,"[""Korean"", ""anchovy"", ""stir-fried""]",멸치를 달콤하게 볶은 반찬
견과류멸치볶음,반찬,200,8,22,12.0,600,2,4,"[""Korean"", ""anchovy"", ""nuts""]",멸치와 견과류를 달콤하게 볶은 고급 반찬
어묵볶음,반찬,180,15,10,10.0,700,1,5,"[""Korean"", ""fish cake"", ""stir-fried""]",어묵을 채소와 함께 볶은 반찬
새우볶음,반찬,200,5,25,10.0,650,0,3,"[""Korean"", ""shrimp"", ""stir-fried""]",새우를 양념과 함께 볶은 반찬
두부조림,반찬,150,5,15,8.0,500,1,4,"[""Korean"", ""tofu"", ""braised""]",두부를 간장 양념으로 조린 반찬
버섯볶음,반찬,120,10,5,6.0,450,3,3,"[""Korean"", ""mushroom"", ""stir-fried""]",다양한 버섯을 양념과 함께 볶은 반찬
소세지볶음,반찬,250,10,12,18.0,700,1,6,"[""Korean"", ""sausage"", ""stir-fried""]",소세지를 채소와 함께 달콤하게 볶은 반찬
계란말이,반찬,180,2,12,13.0,400,0,1,"[""Korean"", ""egg"", ""rolled""]",계란을 얇게 부쳐 돌돌 말아 만든 반찬
소불고기,육류,400,12,30,25.0,750,1,8,"[""Korean"", ""beef"", ""marinated""]",얇게 썬 소고기를 달콤한 양념에 재워 구운 요리
돼지불고기,육류,450,10,28,30.0,700,1,9,"[""Korean"", ""pork"", ""marinated""]",얇게 썬 돼지고기를 달콤한 양념에 재워 구운 요리
닭불고기,육류,380,8,35,20.0,650,1,7,"[""Korean"", ""chicken"", ""marinated""]",닭고기를 달콤한 양념에 재워 구운 요리
차돌박이,육류,350,1,25,28.0,500,0,1,"[""Korean"", ""beef brisket"", ""thin""]",얇게 저민 소고기 가슴살을 구운 요리
훈제오리,육류,400,2,28,30.0,550,0,1,"[""Korean"", ""duck"", ""smoked""]",오리고기를 훈제한 요리
갈매기살,육류,380,1,30,28.0,500,0,1,"[""Korean"", ""pork skirt"", ""grilled""]",돼지고기 가로막을 구운 요리
막창구이,육류,420,2,25,35.0,550,0,1,"[""Korean"", ""intestine"", ""grilled""]",소나 돼지의 막창을 구운 요리
오삼불고기,육류,380,15,28,22.0,750,1,8,"[""Korean"", ""squid"", ""pork""]",오징어와 삼겹살을 매콤하게 볶은 요리
육회,육류,250,2,30,15.0,400,0,2,"[""Korean"", ""raw beef"", ""seasoned""]",생 소고기를 얇게 썰어 양념한 한국의 전통 음식
육회비빔밥,밥류,600,70,40,20.0,700,3,4,"[""Korean"", ""raw beef"", ""rice""]",육회를 비빔밥에 올려 먹는 요리
회덮밥,밥류,550,70,30,15.0,650,2,3,"[""Korean"", ""raw fish"", ""rice""]",생선회를 밥 위에 올려 비벼 먹는 요리
물회,해산물,300,20,25,10.0,600,1,5,"[""Korean"", ""raw fish"", ""cold soup""]",생선회를 시원한 국물에 말아 먹는 여름 음식
비빔냉면,면류,450,70,15,10.0,900,3,8,"[""Korean"", ""noodle"", ""spicy""]",메밀면에 고추장 양념을 비빈 냉면
물냉면,면류,400,70,12,5.0,800,3,5,"[""Korean"", ""noodle"", ""cold broth""]",시원한 국물에 메밀면을 말아 먹는 냉면
열무냉면,면류,420,65,14,8.0,850,4,6,"[""Korean"", ""noodle"", ""young radish""]",열무김치와 함께 먹는 냉면
콩국수,면류,450,60,20,15.0,350,5,3,"[""Korean"", ""noodle"", ""soy milk""]",콩을 갈아 만든 국물에 면을 말아 먹는 여름 음식
칼국수,면류,480,80,15,5.0,700,3,2,"[""Korean"", ""noodle"", ""knife-cut""]",밀가루 반죽을 칼로 썰어 만든 국수
수제비,면류,450,75,12,8.0,650,2,1,"[""Korean"", ""dough flakes"", ""soup""]",밀가루 반죽을 떼어 넣고 끓인 국물 요리
들깨수제비,면류,480,70,13,15.0,600,3,1,"[""Korean"", ""dough flakes"", ""perilla seed""]",들깨를 갈아 넣고 수제비를 끓인 요리
만둣국,국/찌개,400,45,18,15.0,750,2,2,"[""Korean"", ""dumpling"", ""soup""]",만두를 넣고 끓인 국물 요리
비빔만두,분식,380,40,18,18.0,700,2,6,"[""Korean"", ""dumpling"", ""spicy sauce""]",만두에 매운 양념장을 비벼 먹는 요리
떡갈비,육류,420,15,30,28.0,700,1,7,"[""Korean"", ""beef patty"", ""rice cake""]",다진 소고기를 떡 모양으로 만들어 구운 요리
떡만두국,국/찌개,420,50,15,15.0,750,2,2,"[""Korean"", ""rice cake"", ""dumpling soup""]",떡과 만두를 함께 넣고 끓인 국물 요리
호박죽,죽류,250,40,5,8.0,300,4,15,"[""Korean"", ""pumpkin"", ""porridge""]",호박을 갈아 넣고 쌀과 함께 끓인 죽
팥죽,죽류,280,50,8,2.0,250,8,12,"[""Korean"", ""red bean"", ""porridge""]",팥을 갈아 넣고 쌀과 함께 끓인 죽
전복죽,죽류,300,45,15,5.0,400,2,1,"[""Korean"", ""abalone"", ""porridge""]",전복을 넣고 쌀과 함께 끓인 고급 보양식 죽
닭죽,죽류,320,40,20,10.0,450,1,1,"[""Korean"", ""chicken"", ""porridge""]",닭고기를 넣고 쌀과 함께 끓인 죽
소고기미역국,국/찌개,180,8,15,10.0,650,2,1,"[""Korean"", ""beef"", ""seaweed soup""]",소고기와 미역을 넣고 끓인 국물 요리
달걀국,국/찌개,120,3,8,8.0,550,0,1,"[""Korean"", ""egg"", ""soup""]",달걀을 풀어 넣고 끓인 간단한 국물 요리
대구탕,국/찌개,220,5,30,10.0,700,1,1,"[""Korean"", ""codfish"", ""soup""]",대구를 넣고 시원하게 끓인 탕 요리
고등어조림,해산물,350,8,30,20.0,850,1,5,"[""Korean"", ""mackerel"", ""braised""]",고등어를 양념에 조린 생선 요리
갈치조림,해산물,330,10,28,18.0,800,1,6,"[""Korean"", ""hairtail"", ""braised""]",갈치를 양념에 조린 생선 요리
코다리조림,해산물,280,8,35,12.0,750,1,5,"[""Korean"", ""dried pollack"", ""braised""]",코다리(말린 명태)를 양념에 조린 생선 요리
낙지볶음,해산물,320,15,25,15.0,850,1,8,"[""Korean"", ""octopus"", ""spicy""]",낙지를 매콤하게 볶은 해산물 요리
산낙지,해산물,220,5,30,8.0,400,0,1,"[""Korean"", ""raw octopus"", ""live""]",살아있는 낙지를 참기름과 소금에 찍어 먹는 요리
전어구이,해산물,280,2,28,18.0,400,0,1,"[""Korean"", ""gizzard shad"", ""grilled""]",가을 제철 생선인 전어를 소금구이로 먹는 요리
과메기,해산물,250,1,35,12.0,400,0,1,"[""Korean"", ""half-dried herring"", ""traditional""]",청어나 꽁치를 얼렸다 말렸다 반복해 만든 경북 포항의 전통 생선 요리
깻잎쌈,반찬,30,2,1,2.0,200,1,0,"[""Korean"", ""perilla leaf"", ""wrap""]",깻잎에 쌈장이나 고추장을 발라 먹는 쌈 요리
상추쌈,반찬,25,2,1,1.0,150,1,1,"[""Korean"", ""lettuce"", ""wrap""]",상추에 고기와 쌈장을 싸서 먹는 쌈 요리
더덕구이,반찬,120,10,3,7.0,300,2,5,"[""Korean"", ""deodeok"", ""grilled""]",더덕을 구워 고추장 양념에 발라 먹는 나물 요리
호박전,전/부침,200,15,5,14.0,350,3,5,"[""Korean"", ""zucchini"", ""pancake""]",호박을 얇게 썰어 부친 전 요리
육전,전/부침,350,10,25,22.0,450,0,1,"[""Korean"", ""beef"", ""pancake""]",소고기를 얇게 저며 달걀 옷을 입혀 부친 전 요리
생선전,전/부침,280,12,22,18.0,500,0,1,"[""Korean"", ""fish"", ""pancake""]",생선을 얇게 저며 달걀 옷을 입혀 부친 전 요리
감자전,전/부침,220,30,5,10.0,350,3,1,"[""Korean"", ""potato"", ""pancake""]",감자를 갈아 부친 전 요리
오징어젓갈,반찬,150,5,20,6.0,1500,0,2,"[""Korean"", ""squid"", ""fermented""]",오징어를 소금에 절여 발효시킨 젓갈
낙지젓갈,반찬,160,5,22,7.0,1550,0,2,"[""Korean"", ""small octopus"", ""fermented""]",낙지를 소금에 절여 발효시킨 젓갈
새우젓,반찬,120,2,20,5.0,1800,0,1,"[""Korean"", ""shrimp"", ""fermented""]",새우를 소금에 절여 발효시킨 젓갈
명란젓,반찬,180,2,25,8.0,1600,0,1,"[""Korean"", ""pollock roe"", ""fermented""]",명태의 알을 소금에 절여 발효시킨 젓갈
청국장,반찬,250,10,22,15.0,700,5,2,"[""Korean"", ""fermented soybean"", ""paste""]",콩을 삶아 짧게 발효시켜 만든 전통 발효식품
청국장찌개,국/찌개,350,15,25,20.0,900,6,3,"[""Korean"", ""fermented soybean"", ""stew""]",청국장을 넣고 끓인 찌개 요리
제사음식,기타,600,80,25,25.0,800,4,10,"[""Korean"", ""ancestral rite"", ""traditional""]",제사상에 올리는 다양한 한국 전통 음식
떡국떡,간식,150,30,3,2.0,300,1,1,"[""Korean"", ""rice cake"", ""sliced""]",떡국에 들어가는 얇게 썬 가래떡
송편,간식,220,45,4,3.0,250,1,10,"[""Korean"", ""rice cake"", ""half-moon""]",반달 모양의 떡으로 추석에 주로 먹는 명절 음식
인절미,간식,230,48,5,2.0,200,1,8,"[""Korean"", ""rice cake"", ""bean powder""]",찹쌀떡에 콩고물을 묻힌 전통 떡
약식,간식,300,60,5,5.0,150,2,20,"[""Korean"", ""rice cake"", ""medicinal""]",찹쌀에 대추와 밤 등을 넣고 약재와 함께 찐 영양 떡
식혜,음료,150,35,1,0.0,30,0,30,"[""Korean"", ""sweet rice"", ""drink""]",엿기름 삭힌 물에 밥알을 띄워 만든 전통 음료
수정과,음료,120,30,0,0.0,20,1,25,"[""Korean"", ""cinnamon"", ""drink""]",계피와 생강, 곶감 등으로 만든 전통 차 음료
막걸리,주류,180,25,2,0.0,25,0,5,"[""Korean"", ""rice wine"", ""traditional""]",쌀이나 밀로 빚은 한국의 전통 발효주
소주,주류,120,0,0,0.0,0,0,0,"[""Korean"", ""distilled"", ""liquor""]",한국의 대표적인 증류주
막국수,면류,400,65,12,8.0,750,3,5,"[""Korean"", ""buckwheat"", ""noodle""]",메밀로 만든 면에 고추장이나 비빔장을 섞어 먹는 강원도 향토 음식
월남쌈,기타,300,40,15,12.0,500,4,5,"[""Vietnamese"", ""spring roll"", ""fusion""]",쌀종이에 다양한 채소와 고기를 싸서 먹는 베트남식 요리
잡채밥,밥류,580,90,15,18.0,650,4,8,"[""Korean"", ""glass noodle"", ""rice""]",잡채와 밥을 함께 비벼 먹는 요리
곤드레밥,밥류,350,70,8,5.0,400,5,1,"[""Korean"", ""gondre"", ""rice""]",곤드레나물을 넣고 지은 강원도 향토 음식
주먹밥,밥류,220,40,5,5.0,400,1,2,"[""Korean"", ""rice ball"", ""seaweed""]",밥을 주먹 크기로 뭉쳐 김이나 다른 재료로 감싼 간편식
유부초밥,밥류,250,45,8,8.0,450,1,6,"[""Japanese"", ""sushi"", ""fried tofu""]",유부(튀긴 두부피)에 밥을 넣은 일본식 초밥
김치볶음,반찬,150,8,5,10.0,600,3,5,"[""Korean"", ""kimchi"", ""stir-fried""]",김치를 볶은 반찬이나 볶음밥의 재료
간장게장비빔밥,밥류,550,70,35,20.0,1100,3,7,"[""Korean"", ""soy sauce crab"", ""rice""]",간장게장을 밥에 비벼 먹는 요리
낙지덮밥,밥류,500,70,28,15.0,800,2,8,"[""Korean"", ""octopus"", ""rice bowl""]",매콤하게 볶은 낙지를 밥 위에 올려 먹는 요리
돌솥비빔밥,밥류,620,85,22,18.0,850,5,6,"[""Korean"", ""stone pot"", ""rice""]",뜨거운 돌솥에 비빔밥을 담아 누룽지까지 즐기는 요리
전주비빔밥,밥류,600,80,20,15.0,800,5,6,"[""Korean"", ""Jeonju"", ""rice""]",전주 지방의 향토 비빔밥으로 고슬고슬한 쌀과 다양한 나물이 특징
즉석밥,밥류,210,48,4,1.0,5,1,0,"[""Korean"", ""instant"", ""rice""]",전자레인지에 데워 먹는 간편한 즉석 쌀밥
참치김밥,분식,320,60,15,8.0,650,3,4,"[""Korean"", ""tuna"", ""seaweed rice""]",참치 마요네즈를 넣은 인기 있는 김밥 변형
치즈김밥,분식,340,58,12,12.0,600,2,3,"[""Korean"", ""cheese"", ""seaweed rice""]",치즈를 넣어 만든 김밥으로 아이들에게 인기 있음
김치볶음밥 with 계란후라이,밥류,550,70,18,25.0,950,3,5,"[""Korean"", ""kimchi"", ""fried egg""]",김치볶음밥 위에 계란후라이를 올린 한국의 대표적인 가정식
비비고 만두,분식,300,35,12,14.0,650,2,2,"[""Korean"", ""frozen"", ""dumpling""]",냉동실에서 바로 조리 가능한 인기 있는 브랜드 만두
삼각김밥,간식,180,38,5,3.0,350,1,2,"[""Korean"", ""triangle"", ""rice""]",편의점에서 인기 있는 삼각형 모양의 김이 싸인 밥
컵라면,면류,380,60,8,14.0,1500,2,3,"[""Korean"", ""cup"", ""instant noodle""]",뜨거운 물만 부어 먹을 수 있는 컵에 담긴 라면
신라면,면류,500,72,10,19.0,1800,3,3,"[""Korean"", ""spicy"", ""instant noodle""]",한국에서 가장 인기 있는 매운맛 라면 브랜드
진라면,면류,480,70,9,18.0,1700,2,3,"[""Korean"", ""mild"", ""instant noodle""]",덜 매운 맛으로 즐길 수 있는 인기 라면 브랜드
짜파게티,면류,520,80,11,18.0,1600,3,5,"[""Korean"", ""black bean"", ""instant noodle""]",짜장면 맛을 낸 인기 있는 라면 종류
스팸볶음,반찬,350,5,20,28.0,1100,0,2,"[""Korean"", ""spam"", ""stir-fried""]",한국에서 인기 있는 통조림 고기인 스팸을 볶은 반찬
스팸김치볶음,반찬,380,8,20,30.0,1200,2,3,"[""Korean"", ""spam"", ""kimchi""]",스팸과 김치를 함께 볶은 인기 반찬
계란국,국/찌개,120,3,8,8.0,550,0,1,"[""Korean"", ""egg"", ""soup""]",계란을 푼 간단한 국으로 아침식사나 해장용으로 인기
물만두,분식,250,35,10,8.0,500,1,1,"[""Korean"", ""boiled"", ""dumpling""]",만두를 삶아서 간장에 찍어 먹는 담백한 만두 요리
호빵,간식,220,45,5,2.0,180,2,10,"[""Korean"", ""steamed bun"", ""winter""]",겨울에 인기 있는 찐빵으로 다양한 앙금이 들어 있음
고구마,간식,160,37,2,0.2,30,4,10,"[""Korean"", ""sweet potato"", ""healthy""]",한국인이 간식이나 식사 대용으로 자주 먹는 찐 고구마
찐옥수수,간식,130,25,4,1.0,15,3,6,"[""Korean"", ""corn"", ""steamed""]",간식이나 반찬으로 먹는 단맛이 강한 찐 옥수수
훈제치킨,육류,250,2,40,10.0,650,0,0,"[""Korean"", ""smoked"", ""chicken""]",편의점이나 마트에서 판매하는 훈제 닭고기
편의점 도시락,기타,650,90,25,22.0,1200,3,8,"[""Korean"", ""convenience store"", ""lunch box""]",바쁜 직장인들이 자주 찾는 편의점에서 파는 도시락
컵밥,밥류,480,70,15,18.0,950,2,5,"[""Korean"", ""cup"", ""instant rice""]",다양한 토핑과 함께 컵에 담긴 즉석 밥 요리
라볶이,분식,480,85,10,14.0,1500,2,10,"[""Korean"", ""ramen"", ""tteokbokki""]",라면과 떡볶이를 함께 조리한 인기 분식
마라탕,중식,450,30,20,30.0,2000,3,5,"[""Chinese"", ""spicy"", ""hot pot""]",마라 향신료로 맛을 낸 중국식 탕 요리로 한국에서 인기
마라샹궈,중식,550,20,25,42.0,1800,3,4,"[""Chinese"", ""spicy"", ""stir-fried""]",마라 향신료로 볶은 중국 요리로 한국에서 유행
꿔바로우,중식,420,30,20,28.0,600,1,5,"[""Chinese"", ""sweet and sour"", ""pork""]",바삭한 돼지고기에 새콤달콤한 소스를 곁들인 중국 요리
양꼬치,중식,300,5,25,22.0,600,0,1,"[""Chinese"", ""lamb"", ""skewer""]",양고기를 꼬치에 꿰어 구운 중국식 바베큐
훠궈,중식,600,40,35,38.0,1800,3,4,"[""Chinese"", ""hot pot"", ""spicy""]",여러 재료를 끓는 육수에 데워 먹는 중국식 샤브샤브
마제소바,일식,480,65,20,18.0,900,3,4,"[""Japanese"", ""mazesoba"", ""dry noodle""]",국물 없이 비벼 먹는 일본식 라멘으로 한국에서 인기
사케동,일식,450,60,25,15.0,750,1,5,"[""Japanese"", ""salmon"", ""rice bowl""]",밥 위에 연어를 올린 일본식 덮밥
